fold,metric_type,metric,value_mitig,value_nomitig,value_pol
0,fairness,Demographic Parity Ratio,0.844433751207478,0.844433751207478,0.6132631220048113
0,fairness,Equalized Odds Ratio,0.8162359283335975,0.8162359283335975,0.5976086212391261
0,performance,Accuracy,0.7303980699638118,0.7303980699638118,0.741254523522316
0,performance,F1,0.6405307599517491,0.6405307599517491,0.653890004014452
0,performance,Precision,0.640418148862546,0.640418148862546,0.6535195023067244
0,performance,Recall,0.6406441741615795,0.6406441741615795,0.6542680535474921
0,performance,Roc Auc,0.6406441741615795,0.6406441741615795,0.6542680535474921
1,fairness,Demographic Parity Ratio,0.837819008113873,0.837819008113873,0.631671989051095
1,fairness,Equalized Odds Ratio,0.7565405016632203,0.7565405016632203,0.7064935064935064
1,performance,Accuracy,0.744270205066345,0.744270205066345,0.7575392038600723
1,performance,F1,0.6530942567941005,0.6530942567941005,0.6774955871423263
1,performance,Precision,0.6502539328626284,0.6502539328626284,0.6777811164206302
1,performance,Recall,0.6564303446497082,0.6564303446497082,0.6772135877116197
1,performance,Roc Auc,0.6564303446497082,0.6564303446497082,0.6772135877116195
2,fairness,Demographic Parity Ratio,0.8577956557298616,0.8577956557298616,0.6071815610090215
2,fairness,Equalized Odds Ratio,0.7425130795598053,0.7425130795598053,0.6845466155810983
2,performance,Accuracy,0.7599517490952955,0.7599517490952955,0.7503015681544029
2,performance,F1,0.6775895090681676,0.6775895090681676,0.6740312286300433
2,performance,Precision,0.6759085067508981,0.6759085067508981,0.678081846000901
2,performance,Recall,0.6794001768597913,0.6794001768597913,0.670641447368421
2,performance,Roc Auc,0.6794001768597913,0.6794001768597913,0.6706414473684211
3,fairness,Demographic Parity Ratio,0.865800803154734,0.865800803154734,0.6826594893998791
3,fairness,Equalized Odds Ratio,0.8334006734006735,0.8334006734006735,0.6205710354317165
3,performance,Accuracy,0.7310012062726177,0.7310012062726177,0.7593486127864898
3,performance,F1,0.6530221925254134,0.6530221925254134,0.6754466311634856
3,performance,Precision,0.6584768680514496,0.6584768680514496,0.6733699076272912
3,performance,Recall,0.6489449893141566,0.6489449893141566,0.6777265500794913
3,performance,Roc Auc,0.6489449893141566,0.6489449893141566,0.6777265500794913
4,fairness,Demographic Parity Ratio,0.8261845104118005,0.8261845104118005,0.6659912191827086
4,fairness,Equalized Odds Ratio,0.7513560804899388,0.7513560804899388,0.7331850265029798
4,performance,Accuracy,0.7496984318455971,0.7496984318455971,0.7659831121833535
4,performance,F1,0.6640931070423428,0.6640931070423428,0.6851740561153079
4,performance,Precision,0.662921032480687,0.662921032480687,0.6834126530256182
4,performance,Recall,0.665335463258786,0.665335463258786,0.6870681047522071
4,performance,Roc Auc,0.665335463258786,0.665335463258786,0.687068104752207
