Sex_int,Protected category,Overall,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,Italian Residence,European Residence,Age Range_int,number_of_searches,experience_match_score,study_title_score,professional_similarity_score,study_area_score,general_similarity_score,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ,Hired
1,False,2.0,1.5,2.0,2.0,2.0,2.0,2.5,2.5,True,True,2,464.0,0.0,0.0,0.4769036173820495,0.4370958805084228,0.5598477721214294,598.5123112571988,598.5123112571988,0
1,False,2.0,1.5,2.0,2.0,2.5,2.0,1.0,2.5,True,True,4,150.0,1.0,0.0,0.4721677899360657,1.0,0.6568328142166138,477.5670330053997,477.5670330053997,0
1,False,2.5,3.0,3.0,2.5,2.5,2.5,2.5,3.0,True,True,2,592.0,0.0,-0.1666666666666666,0.5730057954788208,0.5139808654785156,0.4702026546001434,945.6329089659212,945.6329089659212,1
1,False,2.5,2.5,2.0,2.5,2.5,2.5,2.0,3.0,True,True,3,815.6666666666666,0.3333333333333333,0.0,0.2710868120193481,0.1150921285152435,0.3479663431644439,297.3505202717438,297.3505202717438,0
1,False,2.6666666666666665,3.0,2.0,2.6666666666666665,2.6666666666666665,2.333333333333333,1.3333333333333333,3.0,True,True,2,867.6666666666666,-0.1666666666666666,0.0,0.0486363619565963,1.0000001192092896,0.5447077751159668,263.3574320313123,263.3574320313123,1
1,False,2.0,2.0,2.0,2.0,2.0,2.333333333333333,3.0,3.0,True,True,2,788.0,-0.1666666666666666,0.1666666666666666,0.3424243927001953,0.5993212461471558,0.4829759001731872,584.2890913882621,584.2890913882621,1
1,False,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,True,True,2,209.0,0.1666666666666666,0.0,0.392331600189209,0.6586176156997681,0.6181172132492065,538.2361724541412,538.2361724541412,0
1,False,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,True,True,6,422.3333333333333,0.8333333333333334,0.0,0.1857159733772277,0.4915654361248016,0.4022238850593567,1044.658817412082,1044.658817412082,0
1,False,2.0,2.333333333333333,2.0,2.0,2.0,2.333333333333333,2.333333333333333,3.0,True,True,0,1163.0,-0.1666666666666666,0.0,0.50050950050354,0.4734894037246704,0.5434067249298096,290.5727260000964,290.5727260000964,0
0,False,2.6666666666666665,2.333333333333333,2.0,2.0,2.6666666666666665,2.333333333333333,3.0,3.0,False,True,3,676.0,-0.1666666666666666,-0.1666666666666666,0.2836853265762329,0.1471807062625885,0.5612984299659729,780.9716660765835,780.9716660765835,1
1,False,2.333333333333333,2.333333333333333,3.0,2.333333333333333,2.333333333333333,2.0,2.333333333333333,3.333333333333333,True,True,1,312.0,-0.1666666666666666,0.0,0.3143016397953033,1.0000001192092896,0.6545766592025757,532.6062303542883,532.6062303542883,0
1,False,2.5,2.5,2.0,2.0,2.5,3.0,3.0,3.0,True,True,6,128.0,0.3333333333333333,0.0,0.3560410737991333,1.0,0.5177001357078552,0.0,1046.5482784974731,0
1,False,2.0,2.0,2.0,2.5,2.0,2.0,1.5,2.5,True,True,0,472.5,0.1666666666666666,-0.1666666666666666,0.5342035293579102,0.4532279372215271,0.5825161933898926,264.6791164338324,264.6791164338324,0
1,False,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,True,True,0,159.0,0.5,0.0,0.3198819160461426,0.5242756605148315,0.544113278388977,401.5956879697896,401.5956879697896,0
1,False,2.0,2.0,2.0,2.5,2.0,2.0,2.0,3.0,True,True,2,346.0,-0.1666666666666666,0.0,0.3048947155475616,1.0000001192092896,0.3533613085746765,0.0,0.0,1
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True,True,2,371.5,0.1666666666666666,0.1666666666666666,0.2273470163345337,0.9999999403953552,0.6453798413276672,223.20829311183192,223.20829311183192,0
1,False,2.0,2.5,2.5,2.0,2.5,2.0,1.5,2.5,True,True,4,592.0,0.6666666666666666,0.0,0.3870947062969208,0.5346493721008301,0.4640528261661529,249.65984986851885,249.65984986851885,0
1,False,2.0,2.0,2.5,2.0,2.5,2.5,1.0,3.0,True,True,3,498.0,0.3333333333333333,-0.1666666666666666,0.0871161296963691,1.0000001192092896,0.4283537268638611,290.671755410184,290.671755410184,0
1,False,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.5,True,True,3,459.0,0.1666666666666666,0.1666666666666666,0.5119305849075317,0.5692874193191528,0.438007652759552,32.34390554280732,32.34390554280732,1
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True,True,1,226.0,-0.3333333333333333,-0.1666666666666666,0.1824305802583694,0.6472595930099487,0.6002165675163269,261.2904898703645,261.2904898703645,0
1,False,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,True,True,2,361.0,0.0,-0.1666666666666666,0.4886132180690765,0.6472595930099487,0.6067768335342407,0.0,0.0,0
0,False,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,True,True,1,1156.0,-0.1666666666666666,-0.5,0.2440087050199508,0.7273859977722168,0.561654806137085,119.94539296491982,119.94539296491982,0
1,False,2.0,2.0,2.5,2.5,2.5,2.0,3.0,3.0,True,True,0,696.0,-0.3333333333333333,-0.1666666666666666,0.3484058976173401,0.5253975987434387,0.5506559610366821,503.05167789033766,503.05167789033766,0
1,False,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,True,True,0,613.0,0.3333333333333333,0.0,0.4063770174980163,0.5692874193191528,0.4596978724002838,105.88524950141726,128.00074126855046,0
1,False,3.0,2.5,2.5,2.5,2.0,3.0,3.0,3.0,True,True,2,532.6666666666666,0.0,0.0,0.2140030860900879,0.5581768155097961,0.5193930864334106,37.18409292930151,623.0077968802333,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,2,159.0,-0.1666666666666666,-0.1666666666666666,0.3439507186412811,0.3837016522884369,0.5517851710319519,188.7172734049369,188.7172734049369,0
1,False,2.0,2.5,3.0,2.0,2.0,2.0,2.0,3.0,True,True,6,409.0,0.0,-0.1666666666666666,0.305522471666336,0.3988077044486999,0.4884152710437774,71.10366656798269,62.34644070318993,1
1,False,2.0,1.6666666666666667,2.0,2.333333333333333,2.333333333333333,2.0,2.6666666666666665,3.0,True,True,2,885.0,-0.6666666666666666,0.6666666666666666,0.4863039851188659,0.1168567016720771,0.4823974967002868,89.50111487452557,89.50111487452557,0
0,False,2.5,2.25,2.5,2.25,2.5,2.75,2.75,3.0,True,True,2,338.75,0.1666666666666666,0.0,0.0049238540232181,0.5692874193191528,0.5247505903244019,126.36801588664628,126.36801588664628,1
1,False,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,True,True,3,667.6666666666666,0.1666666666666666,0.1666666666666666,0.3258141279220581,1.0,0.5584786534309387,24.90897959240141,24.90897959240141,0
0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,2,270.0,0.1666666666666666,0.0,0.2247074246406555,0.3603686988353729,0.5077096819877625,492.08267074535314,492.08267074535314,0
1,False,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,True,True,2,464.0,0.1666666666666666,0.0,0.0900510400533676,0.5431594252586365,0.4501430988311767,261.2904898703645,0.0,0
1,False,2.0,2.0,3.0,2.0,2.5,3.0,2.0,3.0,True,True,1,944.25,0.0,-0.3333333333333333,0.4664481878280639,0.4734894037246704,0.5442022681236267,222.0825465344469,222.0825465344469,0
0,False,3.0,2.0,2.0,3.0,2.5,3.0,4.0,3.5,True,True,2,1249.0,-0.5,0.0,0.2612950801849365,1.0,0.6496065258979797,130.20872971470197,130.20872971470197,0
1,False,2.5,3.0,2.5,2.5,2.5,2.5,2.0,3.0,True,True,6,152.0,0.0,-0.3333333333333333,0.2602711319923401,0.416879802942276,0.5815086960792542,352.88028723717207,444.39333401182495,1
1,False,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,True,True,2,349.0,-0.5,0.0,0.2098670899868011,0.4678933918476105,0.5635138154029846,367.2956240813082,367.63160348555846,0
1,False,2.0,2.0,2.0,2.25,1.75,2.25,2.25,2.25,True,True,2,414.0,-0.3333333333333333,0.1666666666666666,0.1828587651252746,1.0000001192092896,0.5957673192024231,404.72431698336527,404.72431698336527,0
1,False,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,True,True,2,676.0,-0.6666666666666666,0.0,0.3150644302368164,1.0000001192092896,0.527445912361145,511.72765140394426,511.72765140394426,0
1,False,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,True,True,0,651.6666666666666,-0.6666666666666666,0.0,0.500727653503418,0.1387689709663391,0.5345830321311951,0.0,0.0,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,True,True,4,405.3333333333333,0.6666666666666666,0.1666666666666666,0.4088609218597412,0.9999999403953552,0.5402822494506836,481.78942932919375,481.78942932919375,0
1,False,2.0,2.5,2.0,2.0,2.5,1.5,1.0,3.0,True,True,0,221.0,0.3333333333333333,0.0,0.3798078894615173,0.3837016522884369,0.5947290658950806,303.4261289587183,303.4261289587183,0
1,False,2.5,3.0,2.0,2.25,2.0,2.25,1.5,2.0,True,True,5,802.2,0.1666666666666666,0.0,0.4324408769607544,0.5139808654785156,0.5123700499534607,44.32268506051047,44.32268506051047,1
0,False,2.6666666666666665,2.0,2.6666666666666665,2.6666666666666665,2.333333333333333,2.333333333333333,1.6666666666666667,3.0,True,True,1,899.0,0.0,-0.1666666666666666,0.1784498989582061,0.5692874193191528,0.4771417379379272,52.5653115038964,52.5653115038964,1
1,False,3.0,3.0,2.5,3.0,3.0,2.5,3.5,3.5,True,True,2,595.75,0.6666666666666666,0.0,0.3838581442832947,1.0,0.5373142957687378,330.1441196805306,713.5958196274554,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,True,True,2,494.0,0.0,0.0,0.311938613653183,0.6472595930099487,0.5387952327728271,261.2904898703645,261.2904898703645,0
1,False,2.333333333333333,2.0,2.333333333333333,2.333333333333333,2.0,2.6666666666666665,3.0,3.333333333333333,True,True,2,728.0,0.5,0.0,0.1742840558290481,0.5132570862770081,0.246669590473175,0.0,0.0,1
0,False,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,True,True,2,696.0,-0.3333333333333333,0.0,0.2470815032720565,0.5033115148544312,0.4797384142875671,261.2904898703645,261.2904898703645,0
1,False,3.0,2.0,3.0,2.0,2.5,2.0,2.5,2.5,True,True,2,588.0,-0.6666666666666666,0.0,0.3303315043449402,1.0,0.4176735579967499,0.0,1070.3838093235945,1
1,False,2.0,2.0,2.5,2.0,2.5,2.0,2.0,2.0,True,True,0,532.6666666666666,0.8333333333333334,-0.5,0.3811879754066467,0.2059585750102996,0.5167131423950195,48.51315237465492,634.8256888716393,0
1,False,2.5,1.5,3.0,2.5,2.5,2.5,2.5,3.0,True,True,2,304.0,0.0,0.1666666666666666,0.0714811831712722,0.1555326730012893,0.4400458335876465,114.69624192796068,201.2948668017827,1
0,False,2.0,2.0,3.0,3.0,3.0,2.5,2.0,3.0,True,True,2,969.5,-0.5,0.1666666666666666,0.1103547364473342,0.3813599348068237,0.5159294009208679,191.1898254617776,648.1089826646336,0
1,False,3.0,3.0,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,3.0,True,True,4,349.0,0.3333333333333333,-0.1666666666666666,0.1369552165269851,0.2694469094276428,0.6615042686462402,181.31036054825577,174.53551593235844,1
1,False,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,True,True,3,207.0,0.0,0.0,0.5806193351745605,0.5692874193191528,0.5616236925125122,241.25595230806303,236.8230484341296,0
1,False,2.5,2.0,2.0,3.0,2.5,2.5,3.5,2.0,True,True,3,556.0,-0.6666666666666666,0.0,0.2328694760799408,1.0,0.3908128440380096,0.0,365.6445112149842,1
1,False,2.6666666666666665,2.6666666666666665,2.333333333333333,3.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,3.0,True,True,2,1034.0,0.1666666666666666,0.0,0.4745872616767883,1.0,0.5027135610580444,126.36801588664628,126.36801588664628,0
1,False,2.5,2.5,2.5,2.5,2.5,2.5,2.0,3.0,True,True,6,195.66666666666663,1.0,-0.1666666666666666,0.3124973177909851,0.9999999403953552,0.5456240177154541,125.11372010957884,125.11372010957884,0
0,False,2.0,2.5,1.5,1.5,1.5,3.0,3.0,2.0,True,True,2,544.0,-0.1666666666666666,-0.1666666666666666,0.4141714572906494,1.0,0.7079831957817078,282.9598217730855,282.9598217730855,0
1,False,2.0,2.0,2.5,2.0,2.0,3.0,2.5,2.5,True,True,2,226.0,0.0,0.0,0.30143803358078,1.0000001192092896,0.6244577765464783,0.0,0.0,0
1,False,2.6666666666666665,3.0,2.6666666666666665,2.6666666666666665,3.0,3.0,3.0,3.0,False,True,6,592.0,1.0,-0.1666666666666666,0.2909619212150574,0.5346493721008301,0.4805310368537903,1227.7297473914095,1227.7297473914095,0
1,False,2.333333333333333,2.0,2.333333333333333,2.6666666666666665,2.333333333333333,2.333333333333333,3.0,3.0,True,True,0,371.5,0.0,0.1666666666666666,0.2722528576850891,0.9999999403953552,0.5965527892112732,69.07354654363098,69.07354654363098,1
1,False,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,True,True,6,629.6666666666666,0.5,-0.3333333333333333,0.3607254028320312,0.0721558779478073,0.5573497414588928,371.5389776678828,371.5389776678828,0
1,False,2.0,2.0,2.0,2.5,2.0,3.0,2.0,3.0,True,True,2,662.0,0.0,0.0,0.5266197323799133,0.3586407005786896,0.5634012818336487,10.420369445126097,10.420369445126097,1
1,False,2.5,2.0,2.0,2.5,2.5,2.5,2.5,3.0,False,True,0,453.0,0.1666666666666666,0.3333333333333333,0.3912312090396881,0.6472595930099487,0.6144053339958191,1389.5372284441823,2072.969255549728,0
1,False,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.5,True,True,3,719.75,-0.3333333333333333,0.0,0.1896877437829971,0.2302437722682953,-0.0078681223094463,127.53446826905332,127.53446826905332,0
1,False,2.0,1.5,2.0,2.0,2.0,2.0,2.0,2.5,True,True,3,270.0,0.0,0.0,0.311938613653183,1.0,0.595191240310669,249.4456688401536,249.4456688401536,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,0,464.0,0.1666666666666666,0.0,0.1856121718883514,0.6410719752311707,0.490430474281311,503.05167789033766,713.5958196274554,0
0,False,2.0,2.0,2.0,2.5,2.0,1.5,1.0,3.0,True,True,0,531.0,0.1666666666666666,0.0,0.3581467866897583,0.347728282213211,0.4672664999961853,164.02650359953614,476.4920787767408,0
0,False,2.0,2.0,2.0,2.0,2.0,2.333333333333333,2.6666666666666665,2.333333333333333,True,True,0,1180.0,0.1666666666666666,0.1666666666666666,0.4238444864749908,0.299981951713562,0.5019491910934448,406.78419651497006,406.78419651497006,0
1,False,3.0,3.333333333333333,2.6666666666666665,3.333333333333333,3.0,3.333333333333333,2.0,3.333333333333333,True,True,6,751.0,0.5,0.0,0.4023970365524292,1.0000001192092896,0.5802159309387207,61.35556564721424,61.35556564721424,1
1,False,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,True,True,4,684.0,0.6666666666666666,0.1666666666666666,0.2754084467887878,0.5692874193191528,0.4698545634746551,513.6154770720472,467.6230128118159,1
0,False,2.6666666666666665,3.0,2.333333333333333,2.0,2.6666666666666665,2.333333333333333,2.0,4.0,False,True,0,629.6666666666666,0.0,0.0,0.4812921285629272,1.0,0.5411468148231506,1894.512381191415,1894.512381191415,1
1,False,3.0,3.0,3.0,3.5,3.0,3.0,2.5,3.0,True,True,0,662.0,-0.1666666666666666,0.0,0.5851126909255981,0.1551505923271179,0.4624555110931396,411.5836198142279,411.5836198142279,0
0,False,3.6666666666666665,3.0,3.6666666666666665,3.6666666666666665,3.333333333333333,3.333333333333333,3.0,3.0,True,True,3,491.0,0.0,0.0,0.0655974298715591,0.2675034999847412,0.5063591003417969,19.98166072816801,19.98166072816801,1
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True,True,2,595.5,0.0,-0.3333333333333333,0.4238444864749908,0.1471807062625885,0.5330737829208374,477.5670330053997,477.5670330053997,0
1,False,3.0,2.5,2.5,2.5,2.5,2.5,2.0,3.0,True,True,2,529.0,-0.1666666666666666,0.0,0.3531901240348816,0.4532279372215271,0.3401570320129394,477.7167529321701,477.7167529321701,1
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,False,False,2,752.0,0.1666666666666666,0.0,0.4617596864700317,0.5132570862770081,0.4994425177574157,2364.048258004115,2364.048258004115,0
1,False,2.0,2.0,2.0,2.0,2.333333333333333,2.6666666666666665,2.333333333333333,2.6666666666666665,True,True,2,558.0,-0.1666666666666666,0.1666666666666666,0.2333782613277435,1.0,0.5936996936798096,847.8816147283818,847.8816147283818,0
