cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,55-74,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,45-54,UD,Other,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,55-74,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Vocational Certificate,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,25-34,BG,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Female,45-54,CO,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,35-44,VA,Vocational Certificate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,25-34,MI,High School,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Undergraduate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,35-44,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,35-44,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Female,25-34,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,VA ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,35-44,MN,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,PR,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,CR,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,PR,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,25-34,BS,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,55-74,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,VA,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,BS,High School,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,MI,Graduate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,NO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,BG,Other,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,PR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,45-54,CR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,CR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,35-44,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,45-54,PV,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,15-24,BG,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,15-24,MI,Vocational Certificate,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,45-54,BS,Vocational Certificate,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Other,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Higher Technical Institute,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,15-24,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Female,55-74,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Hired
North Male,25-34,BS,Other,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,15-24,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,45-54,BS,Other,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,15-24,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,BS,Graduate,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,55-74,BS,Higher Technical Institute,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,25-34,BS,Vocational Certificate,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,15-24,BS,Unknown,Ricerca e selezione,Operai Specializzati,BS ,Not Hired
North Male,35-44,MI,Other,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,25-34,MI,High School,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,25-34,MI,Higher Technical Institute,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Female,25-34,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,35-44,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,55-74,MI,Unknown,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,55-74,MI,Higher Technical Institute,Lavoro subordinato,Installazione / Impiantistica / Cantieristica,MI ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Male,35-44,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,35-44,VA,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Not Hired
North Female,55-74,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,35-44,TO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,PR,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Male,25-34,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,35-44,CO,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,35-44,PV,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Assistenziale / Paramedico / Tecnico,MI ,Hired
North Female,25-34,UD,Graduate,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,25-34,UD,Unknown,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,35-44,UD,Other,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Male,35-44,UD,Graduate,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,35-44,UD,Other,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Male,55-74,UD,Other,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,55-74,UD,Unknown,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Female,25-34,PN,Unknown,Lavoro subordinato,Finanza / Contabilità,UD ,Hired
North Male,15-24,MI,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Hired
North Male,15-24,MI,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Hired
North Female,15-24,CO,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Hired
North Male,25-34,MI,High School,Lavoro subordinato,Manutenzione / Riparazione,MI ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Male,15-24,VA,Other,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Male,45-54,MI,Other,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Male,25-34,VA,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Male,55-74,VA,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Male,25-34,VA,Unknown,Lavoro subordinato,Manutenzione / Riparazione,MI ,Not Hired
North Female,55-74,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,25-34,UD,Other,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,35-44,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,55-74,GO,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,25-34,GO,High School,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,35-44,GO,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,45-54,GO,Higher Technical Institute,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Male,55-74,UD,Unknown,Lavoro subordinato,Operai Specializzati,UD ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,35-44,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,45-54,BS,High School,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,45-54,MI,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,35-44,PC,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,55-74,VA,Other,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,35-44,CO,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Female,55-74,BS,Unknown,Ricerca e selezione,Magazzino / Logistica / Trasporti,MI ,Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Hired
North Male,45-54,TS,Unknown,Lavoro subordinato,Operai Generici,UD ,Hired
North Female,55-74,UD,Other,Lavoro subordinato,Operai Generici,UD ,Hired
North Female,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,25-34,BL,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
