cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Male,55-74,MB,Other,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,25-34,BG,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,35-44,MB,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,35-44,BG,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,35-44,BG,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,35-44,BS,Other,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Specializzati,BG ,Not Hired
North Male,25-34,LC,Unknown,Lavoro subordinato,Operai Generici,LC ,Hired
North Female,35-44,LC,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Female,25-34,LC,Other,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,25-34,LC,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,35-44,LC,Other,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,25-34,LC,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Female,25-34,LC,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,15-24,LC,Vocational Certificate,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,45-54,CO,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Male,35-44,VA,Unknown,Lavoro subordinato,Operai Generici,LC ,Not Hired
North Female,45-54,NO,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,15-24,VA,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,35-44,MI,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,35-44,VA,Other,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,25-34,NO,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,45-54,VA,Other,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Female,25-34,VA,Unknown,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,15-24,VA,High School,Ricerca e selezione,Management / Responsabili / Supervisori,MI ,Not Hired
North Male,45-54,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Hired
North Female,25-34,VA,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Male,35-44,MI,Unknown,Ricerca e selezione,Finanza / Contabilità,VA ,Not Hired
North Male,35-44,VA,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,45-54,MI,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,55-74,VA,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,35-44,VA,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Female,25-34,VA,Other,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,45-54,VA,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Female,25-34,CO,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,55-74,VA,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Operai Generici,VA ,Hired
North Male,35-44,MI,Other,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,25-34,NO,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,15-24,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Not Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Male,35-44,MI,Other,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Female,55-74,BG,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Female,25-34,NO,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Not Hired
North Male,25-34,LC,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Hired
North Male,45-54,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Hired
North Female,35-44,LC,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Female,45-54,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Female,45-54,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Male,45-54,BG,Other,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Male,45-54,LC,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Female,25-34,MB,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Male,25-34,CO,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,LC ,Not Hired
North Male,25-34,CO,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Male,15-24,NO,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Male,35-44,BG,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Female,35-44,BG,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Male,25-34,VA,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Male,45-54,VA,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Female,25-34,BG,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Male,25-34,BG,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
North Female,35-44,VA,Unknown,Ricerca e selezione,Operai Specializzati,MI ,Hired
Central Male,25-34,FM,Other,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,15-24,FM,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,35-44,FM,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,55-74,MC,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,55-74,FM,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,35-44,FM,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,25-34,FM,Other,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,15-24,FM,Unknown,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,35-44,FM,Other,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
Central Male,35-44,FM,Other,Lavoro subordinato,Operai Specializzati,FM ,Not Hired
North Female,15-24,MB,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,15-24,MI,Other,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,45-54,MB,Other,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,15-24,MI,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,25-34,MB,Other,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Female,45-54,MI,Unknown,Ricerca e selezione,Ingegneria Impiantistica,MI ,Hired
North Male,15-24,MI,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,45-54,MB,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,35-44,MB,Other,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,25-34,MI,High School,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,45-54,MB,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,45-54,MB,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,55-74,MI,Unknown,Ricerca e selezione,Commerciale / Vendita,MB ,Hired
North Female,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,MB,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,MB,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,MB,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,BS,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,CR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,35-44,CR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,25-34,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,25-34,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,55-74,PC,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,35-44,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,35-44,MI,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,PC ,Not Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,15-24,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,35-44,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,25-34,MI,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,55-74,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,25-34,MI,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,55-74,MB,Other,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,35-44,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Female,45-54,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,15-24,MI,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,25-34,MI,Vocational Certificate,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,35-44,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,45-54,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Male,35-44,MB,Unknown,Ricerca e selezione,Manutenzione / Riparazione,MI ,Hired
North Female,25-34,BG,Other,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Male,55-74,BS,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Female,25-34,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Female,25-34,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Male,45-54,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Not Hired
North Male,35-44,BG,Other,Lavoro subordinato,Operai Specializzati,BG ,Not Hired
North Female,25-34,BG,Other,Lavoro subordinato,Operai Specializzati,BG ,Not Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,35-44,BS,Other,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,35-44,BS,Other,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,35-44,BS,Other,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,BS,Other,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,BS,Vocational Certificate,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Male,25-34,BS,Other,Ricerca e selezione,Installazione / Impiantistica / Cantieristica,MI ,Hired
North Female,45-54,PC,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Female,25-34,GE,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Female,35-44,VA,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,55-74,PC,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,45-54,MB,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Female,55-74,AL,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,35-44,VA,High School,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,45-54,CR,Unknown,Lavoro subordinato,Operai Specializzati,PC ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,35-44,CR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,25-34,CR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,25-34,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,55-74,PC,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,15-24,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Female,35-44,MI,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,25-34,PR,Unknown,Lavoro subordinato,Operai Generici,PC ,Hired
North Male,35-44,VA,Unknown,Lavoro subordinato,Operai Generici,PC ,Not Hired
North Male,35-44,CR,Vocational Certificate,Lavoro subordinato,Operai Generici,PC ,Not Hired
North Male,25-34,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Female,45-54,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Male,35-44,PD,Other,Lavoro subordinato,Operai Generici,VE ,Hired
North Female,55-74,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Male,55-74,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Male,25-34,TV,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Male,45-54,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Hired
North Male,35-44,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,35-44,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Male,55-74,VE,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Male,25-34,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,25-34,TV,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Male,25-34,TV,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Male,35-44,TV,Other,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,55-74,TV,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,55-74,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,25-34,VE,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,55-74,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Male,45-54,PD,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,25-34,VE,Unknown,Lavoro subordinato,Operai Generici,VE ,Not Hired
North Female,55-74,MI,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,45-54,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,45-54,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,55-74,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,55-74,MI,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,45-54,BG,Other,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,55-74,MI,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Male,25-34,BG,PhD,Lavoro subordinato,Finanza / Contabilità,BG ,Hired
North Female,55-74,BG,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Hired
North Male,15-24,BG,Other,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Hired
North Male,45-54,BG,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Hired
North Female,25-34,MB,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Female,35-44,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Female,15-24,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Male,35-44,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Female,25-34,MI,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Female,25-34,VA,Unknown,Lavoro subordinato,Progettisti / Design / Grafici,BG ,Not Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,MB,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,MB,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,55-74,MB,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,15-24,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,BG,Vocational Certificate,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,55-74,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,55-74,MB,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,55-74,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,25-34,MB,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,35-44,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,25-34,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,45-54,MI,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,25-34,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,35-44,BG,Unknown,Ricerca e selezione,Operai Generici,MI ,Hired
North Male,55-74,MI,Higher Technical Institute,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,55-74,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,25-34,MB,Other,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,45-54,MI,Other,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,25-34,MI,Vocational Certificate,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,35-44,BG,Other,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,45-54,MB,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Female,25-34,MB,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,15-24,MI,Unknown,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,25-34,BG,Other,Ricerca e selezione,Progettisti / Design / Grafici,MI ,Hired
North Male,45-54,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,45-54,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,55-74,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,15-24,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,45-54,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,CR,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,CR,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,15-24,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,35-44,CR,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,15-24,CR,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,15-24,BG,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,BG,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Female,55-74,BS,Other,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,15-24,CR,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,45-54,MI,Unknown,Lavoro subordinato,Operai Generici,BG ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,25-34,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,25-34,MI,Higher Technical Institute,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Female,35-44,MB,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,15-24,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,15-24,MI,High School,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,15-24,BG,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,35-44,MI,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Female,15-24,BS,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Magazzino / Logistica / Trasporti,BG ,Hired
North Female,45-54,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Female,35-44,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Female,35-44,CR,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
North Male,25-34,BG,Unknown,Lavoro subordinato,Operai Specializzati,BG ,Hired
